ts,gpu_busy_pct,foreign_chromium_n,foreign_chromium_cpu_pct,my_chromium_n,my_chromium_cpu_pct,load1
10:40:53,0,19,405.1,2,0.0,6.56
10:40:54,0,19,376.9,2,0.0,6.56
10:40:55,0,19,370.7,2,0.0,6.56
10:40:56,0,19,391.8,2,1.0,6.56
10:40:57,0,14,-1184.5,1,-6.0,6.56
10:40:58,0,19,68.5,2,6.0,6.76
10:40:59,0,13,-111.3,2,0.0,6.76
10:41:00,0,13,113.2,2,0.0,6.76
10:41:01,0,13,216.8,2,0.0,6.76
10:41:02,0,8,-102.4,1,-5.0,6.76
10:41:03,15,14,216.7,0,-5.0,6.62
10:41:04,99,14,126.2,0,0.0,6.62
10:41:05,66,14,101.3,0,0.0,6.62
10:41:06,0,14,79.5,0,0.0,6.62
10:41:07,0,14,164.1,0,0.0,6.62
10:41:08,0,14,138.2,0,0.0,6.41
10:41:09,0,14,98.4,0,0.0,6.41
10:41:10,0,8,-217.7,0,0.0,6.41
10:41:11,0,8,105.3,0,0.0,6.41
10:41:12,0,8,109.3,0,0.0,6.41
10:41:13,0,14,68.5,0,0.0,6.29
10:41:14,0,14,265.4,0,0.0,6.29
10:41:15,0,14,264.1,0,0.0,6.29
10:41:16,0,14,114.1,0,0.0,6.29
10:41:17,99,14,185.9,0,0.0,6.29
10:41:18,0,14,100.3,0,0.0,6.35
10:41:19,0,14,962.8,0,0.0,6.35
10:41:20,0,14,767.8,0,0.0,6.35
10:41:21,48,8,-2025.2,0,0.0,6.35
10:41:22,0,8,94.4,0,0.0,6.35
10:41:23,0,8,107.3,0,0.0,6.32
10:41:24,0,12,110.5,0,0.0,6.32
10:41:25,17,14,383.4,0,0.0,6.32
10:41:26,0,14,209.5,0,0.0,6.32
10:41:27,99,14,154.1,0,0.0,6.32
10:41:28,0,14,671.2,0,0.0,6.54
10:41:29,0,14,659.6,0,0.0,6.54
10:41:30,99,14,789.7,0,0.0,6.54
10:41:31,0,14,766.2,0,0.0,6.54
10:41:32,99,8,-2989.9,0,0.0,6.54
10:41:33,0,8,3.0,0,0.0,6.41
10:41:34,0,8,6.0,0,0.0,6.41
10:41:35,0,14,15.9,0,0.0,6.41
10:41:36,0,14,185.9,0,0.0,6.41
10:41:37,24,14,165.0,0,0.0,6.41
10:41:38,32,14,240.4,0,0.0,6.94
10:41:39,22,14,6.9,0,0.0,6.94
10:41:40,38,14,450.4,0,0.0,6.94
10:41:41,51,14,775.8,0,0.0,6.94
10:41:42,100,14,624.8,0,0.0,6.94
10:41:43,0,14,662.4,0,0.0,6.87
10:41:44,0,15,810.7,0,0.0,6.87
10:41:45,0,8,-3881.1,0,0.0,6.87
10:41:46,0,8,5.0,0,0.0,6.87
10:41:47,95,8,2.0,0,0.0,6.56
10:41:48,0,8,3.0,0,0.0,6.56
10:41:49,48,8,5.0,0,0.0,6.56
10:41:50,0,8,3.0,0,0.0,6.56
10:41:51,0,8,3.0,0,0.0,6.56
10:41:52,99,8,7.0,0,0.0,6.59
10:41:53,0,8,5.0,0,0.0,6.59
10:41:54,0,8,7.9,0,0.0,6.59
10:41:55,0,8,6.9,0,0.0,6.59
10:41:56,100,8,6.0,0,0.0,6.59
10:41:57,14,8,8.9,0,0.0,6.62
10:41:58,0,8,6.0,0,0.0,6.62
10:41:59,86,8,6.0,0,0.0,6.62
10:42:00,0,8,8.9,0,0.0,6.62
10:42:01,0,8,7.0,0,0.0,6.62
10:42:02,0,8,6.0,0,0.0,6.73
10:42:03,80,8,8.0,0,0.0,6.73
10:42:04,0,2,-18404.8,0,0.0,6.73
10:42:05,0,8,67.6,0,0.0,6.73
10:42:06,100,8,53.4,0,0.0,6.73
10:42:07,0,8,14.9,0,0.0,6.68
10:42:08,21,8,24.9,0,0.0,6.68
10:42:09,0,8,18.9,0,0.0,6.68
10:42:10,0,8,9.9,0,0.0,6.68
10:42:11,0,8,16.9,0,0.0,6.68
10:42:12,0,8,46.7,0,0.0,7.02
10:42:13,25,8,26.8,0,0.0,7.02
10:42:14,0,8,20.9,0,0.0,7.02
10:42:15,0,8,28.8,0,0.0,7.02
10:42:16,0,8,12.9,0,0.0,7.02
10:42:17,0,8,13.9,0,0.0,7.26
10:42:18,0,8,-342.6,0,0.0,7.26
10:42:19,0,8,59.6,0,0.0,7.26
10:42:20,0,8,44.7,0,0.0,7.26
10:42:21,0,8,7.9,0,0.0,7.26
10:42:22,0,8,6.0,0,0.0,7.16
10:42:23,86,8,1.0,0,0.0,7.16
10:42:24,0,8,15.9,0,0.0,7.16
10:42:25,0,8,8.9,0,0.0,7.16
10:42:27,0,8,11.9,0,0.0,7.16
10:42:28,40,8,18.8,0,0.0,7.15
10:42:29,0,8,7.9,0,0.0,7.15
10:42:30,100,10,4.0,0,0.0,7.15
10:42:31,0,8,-186.7,0,0.0,7.15
10:42:32,0,8,90.9,0,0.0,7.15
10:42:33,0,8,2.0,0,0.0,7.54
10:42:34,0,8,4.0,0,0.0,7.54
10:42:35,0,8,48.7,0,0.0,7.54
10:42:36,0,8,20.8,0,0.0,7.54
10:42:37,0,8,29.8,0,0.0,7.54
10:42:38,21,8,51.6,0,0.0,7.41
10:42:39,0,8,29.8,0,0.0,7.41
10:42:40,0,8,22.9,0,0.0,7.41
10:42:41,0,8,46.7,0,0.0,7.41
